company,reg_no,sic_div,ebitda_growth_raw,y_growth,margin_2022,y_margin_pp,log_turnover,firm_age,log_employees,rev_per_emp,rev_cagr_pre,ebitda_cagr_pre,margin_trend_pre
PROVIDENCE EQUITY LLP,OC316278,,0.35035674100348563,0.35035674100348563,0.35526467957714297,13.132517407747752,9.988822646180875,17.0,3.332204510175204,777.9156785714285,-0.13343544132426388,-0.26624482330889765,-0.22993120915195958
OIA GLOBAL LIMITED,03724276,96,-0.9917835603268047,-0.9917835603268047,0.04555128634825416,-4.51754696579063,9.967723715468063,23.0,3.091042453358316,969.4038181818181,0.08346791229501038,0.4730959033594684,0.027427215876075193
HUMISEAL EUROPE LIMITED,01480710,20,0.3957657769205269,0.3957657769205269,0.3481547485568419,3.3832546731999202,9.713533401461284,42.0,3.828641396489095,359.56393478260867,0.16227656064473628,0.09422253635025268,-0.06908319501337862
HOPS PUB COMPANY LIMITED,06457363,56,-1.5909399773499433,-1.3538505560127176,0.13239174763104233,-22.62676831520556,10.414753079530504,15.0,6.493753839851686,50.450832072617246,-0.09501451479239087,0.3662952128461181,0.0939190963297288
VISTRA INTERNATIONAL EXPANSION LIMITED,09959976,69,-0.6170242328873337,-0.6170242328873337,0.16857348578758885,-7.609322038372097,10.302274645587653,6.0,4.204692619390966,444.781,0.23043394393145777,0.4106890479524197,0.05671465029437779
ANTHESIS (UK) LIMITED,03409491,74,-2.5191712816590757,-1.3538505560127176,0.0877892669132735,-20.596593862100875,9.817347577583618,25.0,4.969813299576001,127.42580555555554,0.26099144713625844,0.3310859969312332,0.013151351527570423
POLLOCK LIFTS LIMITED,NI018971,28,2.2597363510503823,2.2597363510503823,0.011743429869631046,1.7250602857889465,9.652542149014351,37.0,4.997212273764115,105.14389864864866,0.040697487856851344,-0.2911949893192525,-0.025426191762483362
ABINGWORTH LLP,OC320188,,1.2147375405034802,1.2147375405034802,0.2507428638597103,5.523943636434536,9.257872128344008,16.0,1.6094379124341003,2089.4138,-0.057509282679439555,-0.18385939400030715,-0.1354149862193536
NUMERIX SOFTWARE LIMITED,04300958,62,-0.1982408350750919,-0.1982408350750919,0.07235318479025384,-1.424862612825374,9.930069988041845,21.0,3.6109179126442243,555.102108108108,0.020539732573763292,,0.11409933602260572
RANDOM42 LIMITED,05398828,59,0.3036530302584561,0.3036530302584561,0.5174407577007447,-15.819559468603217,9.27872427141062,17.0,4.762173934797756,91.51934188034188,0.08572408213126437,0.2927696616420412,0.2109230338392138
CARLISLE REFRIGERATION LIMITED,01844394,33,-0.46254127178714144,-0.46254127178714144,0.11345601985689792,-5.3993300027287665,9.883256069294381,38.0,4.634728988229636,190.285786407767,-0.037987251907297126,0.01884582108003463,0.01794694903740343
ENESCO LIMITED,02137296,18,-1.5874439461883407,-1.3538505560127176,0.053103667248769644,-9.437000840485721,10.13444053074182,35.0,4.8283137373023015,201.568,-0.0033509673332926537,-0.06059933990655786,-0.010312308547859174
